term,synonym,id,remark
greater,"greatest",880,
green,"greenish",881,
grey,"gray",882,
grey,"greyish",882,
groove,"grooves",884,
hair,"hairs",889,
heart_shaped,"heartshaped",907,
heavy,"heavier",908,
hemispheric,"hemispherical",911,
high,"higher",915,
high,"highest",915,
hind,"hinder",918,
hind,"hindward",918,
hollow,"hollowed",922,
hook_like,"hook_shaped",928,
hook_like,"hooklike",928,
horn_shaped,"hornlike",930,
hue,"hues",933,
ill_defined,"illdefined",948,
illustrate,"illustrated",952,
imagine,"imaginary",953,
impressed,"impressions",960,
incrassate,"incrassated",971,
increased,"increasing",972,
indentation,"indented",974,
infuscate,"infuscated",990,
infuscate,"infuscation",990,
inner,"innermost",992,
insertion,"insertions",993,
integrate,"integrating",995,
inter_dorsal,"interdorsal",998,
intercarinal,"intercarinular",1003,
interior,"internal",1007,
intermingled,"intermixed",1009,
interspace,"interspaces",1023,
inverse,"inverted",1034,
isolate,"isolated",1041,
jaw,"jaws",1047,
joined,"joining",1049,
joined,"jointed",1049,
joint,"joints",1050,
juvenile,"juveniles",1055,
keel,"keels",1060,
lack,"lacked",1067,
lack,"lacking",1067,
lamellate,"lamelliform",1071,
lamellate,"lamelliforns",1071,
large,"large_sized",1077,
large,"larger",1077,
large,"largest",1077,
latero_dorsal,"laterodorsal",1088,
lean,"leaning",1096,
leg,"legs",1099,
lengthened,"lengthening",1100,
light,"lighter",1105,
lighter_colored,"lighting",1109,
lighter_colored,"lights",1109,
line,"lines",1113,
lip,"lips",1121,
live,"living",1125,
lobate,"lobed",1128,
lobate,"lobelike",1128,
lobate,"lobiform",1128,
lobate,"lobose",1128,
lobate,"lobular",1128,
local,"localized",1130,
lodge,"lodged",1133,
long,"longer",1134,
long,"longest",1134,
long,"longish",1134,
loose,"losing",1140,
loss,"lost",1142,
low,"lower",1143,
lower,"lowest",1145,
male,"males",1159,
mandible,"mandibles",1161,
marginal,"marginatcd",1165,
marginal,"marginate",1165,
marginal,"marginated",1165,
marginal,"margined",1165,
marked,"markings",1167,
marroon,"maroon_brown",1168,
mat,"matt",1173,
mat,"matte",1173,
mat,"matted",1173,
mating,"mated",1174,
maxilla,"maxillae",1177,
medium_sized,"mediumsized",1188,
membrane,"membranes",1192,
merge,"merging",1195,
mesopleura,"mesopleuron",1216,
metapleura,"metapleurae",1234,
metapleura,"metapleuron",1234,
metatibia,"metatibiae",1243,
metepisterna,"metepisternum",1245,
microreticulate,"microreticulum",1249,
mid,"middle",1255,
