"term","category","hassyn"
"rearwards","orientation",0
"redlichiina","structure",0
"redlich_iidae","structure",1
"regions","structure",0
"redlichia","structure",0
"region","structure",0
"rhaptagnostoid","structure",0
"s2","structure",0
"ribs","structure",0
"ridge","structure",0
"ridges","structure",0
"ridgelike","shape",0
"rings","structure",0
"rimlike","relief",0
"rosette","structure",0
"s","structure",0
"rostral","position",0
"roundish","shape",0
"scrobicule","structure",0
"scrobicules","structure",0
"section","structure",0
"sculpture","architecture",0
"sections","structure",0
"segment","structure",0
"segments","structure",0
"segmentation","pattern",0
"segments;","structure",0
"serrodiscus","structure",0
"semiankylosed","fixation",0
"semicircular","shape",0
"semielliptical","shape",0
"shield","structure",0
"shaped","shape",0
"serrated","shape",0
"shields","structure",0
"size","character",0
"short","length",0
"shortened","size",0
"sided","architecture",0
"sigmoidal","shape",0
"simple","variability",0
"simplimarginate","shape",0
"sinuous","course",0
"species","structure",0
"slitlike","shape",0
"swellings","architecture",0
"small","size",0
"smooth","external texture",0
"specimen","structure",0
"specimens","structure",0
"spine","structure",0
"spectaculate","shape",0
"spines","structure",0
"striga","structure",0
"spinose","pattern",0
"straight","course",0
"zonate","architecture",0
"subfamily","structure",0
"structure","character",0
"subcentral","position",0
"subcircular","shape",0
"suborder","structure",0
"yun_nanaspis","structure",1
"ven_ter","structure",1
"subparallel","course",0
"subquadrate","shape",0
"trilobites","structure",0
"subrounded","shape",0
"sulcus","structure",0
"subtriangular","shape",0
"superfamily","structure",0
"suture","structure",0
"sutures","structure",0
"tasagnostus","structure",0
"tapering","shape",0
"terminations","structure",0
"taxa","structure",0
"terminal","position",0
"terminus","structure",0
"thorax","structure",0
"terrace","position",0
"third","position",0
"tip","structure",0
"thornlike","shape",0
"triangulaspi","structure",0
"tips","structure",0
"transverse","orientation",0
"triangulaspis","structure",0
"trilobite","structure",0
"triannulate","shape",0
"trifid","shape",0
"trilobate","shape",0
"tubercles","structure",0
"tubercle","structure",0
"tripartite","arrangement",0
"trisegmented","pattern",0
"ushbaspis","structure",0
"uncalcified","external texture",0
"undivided","fusion",0
"unfurrowed","architecture",0
"wings","structure",0
"wing","structure",0
"weak","prominence",0
"yiliangella","structure",0
"wutingaspis","structure",0
"yukoniidae","structure",0
"yinites","structure",0
"subpyriform","shape",0
"perrostral","architecture",0
"lo","structure",0
"clavat","shape",0
"anteroaxi","structure",0
"antennae","structure",0
"adults","structure",0
"anopolenus","structure",1
"cuticle","structure",1
"maculae","structure",1
"pustules","structure",1
"redichiidae","structure",1
"yunnanaspis","structure",1
"venter","structure",1
"indentation","structure",1
"width","character",0
"diam","character",0
"aestivation","character",0
"architecture","character",0
"arrangement","character",0
"coating","character",0
"coloration","character",0
"course","character",0
"dehiscence","character",0
"derivation","character",0
"development","character",0
"duration","character",0
"extent","character",0
"exudation","character",0
"fixation","character",0
"fusion","character",0
"germination","character",0
"habit","character",0
"insertion","character",0
"location","character",0
"manifestation","character",0
"maturation","character",0
"nutrition","character",0
"odor","character",0
"ontogeny","character",0
"orientation","character",0
"placentation","character",0
"plane shape","character",0
"porosity","character",0
"position","character",0
"presence","character",0
"prominence","character",0
"pubescence","character",0
"reflectance","character",0
"relief","character",0
"reproduction","character",0
"sculpture","character",0
"size","character",0
"solid shape","character",0
"texture","character",0
"venation","character",0
"vernation","character",0
"shape","character",0
"length","character",0
"width","character",0
"height","character",0
"breadth","character",0
"diameter","character",0
"anatomy","character",0
"diameters","character",0
"sexes","character",0
"dimension","character",0
"morphology","character",0
"origin","character",0
"placentention","character",0
"polyploidy","character",0
